category,over_represented_pvalue,numDEInCat,numInCat,FDR
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.001006096567617789,4,32,0.044659058870357746
GO_SECRETORY_GRANULE_MEMBRANE,0.0010119690071808774,10,218,0.044659058870357746
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS,0.0010121536205210304,3,15,0.044659058870357746
GO_POSITIVE_REGULATION_OF_CELL_KILLING,0.0010701846677185077,4,32,0.04640542136744908
GO_CELLULAR_LIPID_CATABOLIC_PROCESS,0.0010975666876438714,9,182,0.04678610541397181
GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,0.0012540329803694414,8,158,0.051729234045380844
GO_VESICLE_LUMEN,0.0012546653187945254,11,259,0.051729234045380844
GO_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.0014094913483524492,6,88,0.05717533453397435
GO_SEQUESTERING_OF_METAL_ION,0.001432522590127405,3,15,0.05718721133603846
GO_FICOLIN_1_RICH_GRANULE,0.001645942440103201,8,154,0.06468039432593048
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,0.0018310665198798754,6,92,0.06923625449353567
GO_ENDOSOME_MEMBRANE,0.0018567647790921375,14,409,0.06923625449353567
GO_VESICLE_LOCALIZATION,0.001867902847279429,9,202,0.06923625449353567
GO_PEPTIDASE_ACTIVITY,0.0018719941572804873,13,372,0.06923625449353567
GO_GLYCEROLIPID_METABOLIC_PROCESS,0.0020200454450605685,12,333,0.07362919267141059
GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE,0.0021035266497964463,5,64,0.07557670748911519
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,0.0022777424457199064,4,40,0.07968514122467818
GO_ENZYME_ACTIVATOR_ACTIVITY,0.0022999453980981424,14,433,0.07968514122467818
GO_STRESS_FIBER_ASSEMBLY,0.0023129285524459272,6,97,0.07968514122467818
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,0.0024654173916842975,11,300,0.08318827074892506
GO_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.002480763541220429,3,20,0.08318827074892506
GO_LIPOSACCHARIDE_METABOLIC_PROCESS,0.0026833589471659328,6,98,0.0887979967384516
GO_GLYCOSPHINGOLIPID_BINDING,0.0027635230402936694,2,6,0.0902631226797218
GO_ALVEOLAR_LAMELLAR_BODY,0.003020829172647562,2,6,0.09740237652831563
GO_PIGMENT_GRANULE,0.003076822540635144,6,99,0.09795200873034668
GO_KINETOCHORE_MICROTUBULE,0.0037194202740103164,2,7,0.11692927486419932
GO_SERINE_HYDROLASE_ACTIVITY,0.0038307143021517782,5,75,0.1189413144433546
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,0.004124644857844346,21,829,0.12650587582290893
GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT,0.00457450703005762,6,111,0.1380655375174207
GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,0.004645309379918355,13,427,0.1380655375174207
GO_ENDOSOME_LUMEN,0.004707392204154297,3,24,0.1380655375174207
GO_LIPASE_ACTIVITY,0.004721127724253749,5,80,0.1380655375174207
GO_DIPEPTIDYL_PEPTIDASE_ACTIVITY,0.004782422137430208,2,8,0.13825047903031004
GO_SERINE_TYPE_EXOPEPTIDASE_ACTIVITY,0.005330443325533738,2,9,0.14960773380144174
GO_ORGANELLE_LOCALIZATION,0.005340718294091142,16,571,0.14960773380144174
GO_POSITIVE_REGULATION_OF_GLIOGENESIS,0.005353755881562528,4,51,0.14960773380144174
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,0.005746830620962271,3,28,0.1588272418870342
GO_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,0.005923139317094094,3,26,0.16192060198360483
GO_RUFFLE_MEMBRANE,0.006025144519031838,5,88,0.1629380480146782
GO_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,0.006161387988244298,12,379,0.16484990202589797
GO_LATE_ENDOSOME_MEMBRANE,0.006251650386929137,6,115,0.16550421813817662
GO_LYMPHOCYTE_MEDIATED_IMMUNITY,0.006376676082192755,7,155,0.16552178437407464
GO_RAS_PROTEIN_SIGNAL_TRANSDUCTION,0.006406067865134036,10,295,0.16552178437407464
GO_AMINO_SUGAR_CATABOLIC_PROCESS,0.006449755414973883,2,9,0.16552178437407464
GO_TERTIARY_GRANULE,0.006617975673632127,6,118,0.16812332140590708
GO_PIGMENT_BIOSYNTHETIC_PROCESS,0.006809423821517184,4,52,0.17125700911115718
GO_ENOYL_COA_HYDRATASE_ACTIVITY,0.007006683235042959,2,9,0.17447334986270338
GO_GTPASE_ACTIVATOR_ACTIVITY,0.007191659514946098,8,216,0.17732376156950427
GO_PIGMENT_CELL_DIFFERENTIATION,0.007384131082743321,3,30,0.179739874793257
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.007432583291649595,9,245,0.179739874793257
GO_MACROPHAGE_APOPTOTIC_PROCESS,0.007605534933280819,2,10,0.18217067006858342
GO_NEGATIVE_REGULATION_OF_WOUND_HEALING,0.008106813969793528,4,57,0.19234563333991248
GO_LAMELLAR_BODY,0.008222794381639626,2,10,0.19317812067039472
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.008295521682863868,7,169,0.19317812067039472
GO_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,0.008510494523945845,3,31,0.19590871894816522
GO_AUTOPHAGOSOME,0.008568572200516173,5,89,0.19590871894816522
GO_STRIATED_MUSCLE_CONTRACTION,0.00960110374871543,6,133,0.21753852187404782
GO_PHOSPHOLIPID_BINDING,0.010280487178662853,11,357,0.23085201119943818
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT,0.010704336721680474,4,64,0.2371308865439753
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE,0.010748676368196096,26,1210,0.2371308865439753
GO_SCHWANN_CELL_DIFFERENTIATION,0.010923099256115,3,35,0.23888343155764544
GO_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,0.01108252643348414,5,96,0.24028063776045352
GO_CHITOSOME,0.011478917278391038,2,11,0.2460958959489623
GO_AMINO_SUGAR_METABOLIC_PROCESS,0.011584165731737716,3,33,0.2460958959489623
GO_MULTIVESICULAR_BODY_MEMBRANE,0.011668507304329358,2,12,0.2460958959489623
GO_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,0.011742150104920667,3,34,0.2460958959489623
GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY,0.011869265945415205,2,12,0.24670416407205983
GO_ACROSOMAL_VESICLE,0.012422117616320179,4,66,0.2542936738371844
GO_PHOSPHOLIPASE_ACTIVITY,0.012436628978915976,4,67,0.2542936738371844
GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS,0.012703944086362605,4,64,0.2576646723967899
GO_MEMBRANE_FUSION,0.013064238382282206,6,138,0.26285247625151803
GO_SULFOTRANSFERASE_ACTIVITY,0.013240059515737214,3,37,0.26427579112761185
GO_MEMBRANE_LIPID_METABOLIC_PROCESS,0.01344658896426326,7,178,0.26439543137047766
GO_MEMBRANE_MICRODOMAIN,0.013456308236747969,9,279,0.26439543137047766
GO_FATTY_ACID_BETA_OXIDATION,0.01426584181119089,4,66,0.2781286213577139
GO_NEGATIVE_REGULATION_OF_AXON_EXTENSION,0.014423214024494542,3,40,0.2790337174738752
GO_ZYMOGEN_ACTIVATION,0.014745228162493752,3,37,0.28133168432046074
GO_REGULATION_OF_WOUND_HEALING,0.014765718620397938,5,104,0.28133168432046074
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.014943794203837717,6,144,0.28196272036825387
GO_COPII_COATED_VESICLE_BUDDING,0.01508772994661876,4,68,0.28196272036825387
GO_RUFFLE,0.015150899935687686,6,152,0.28196272036825387
GO_ORGANELLE_MEMBRANE_FUSION,0.015247288258482117,5,103,0.28196272036825387
GO_LIPID_BIOSYNTHETIC_PROCESS,0.015439471286451956,15,576,0.2834326298206326
GO_LAMELLIPODIUM_MORPHOGENESIS,0.01569379653672308,2,15,0.28601375572361265
GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE,0.016090112761678377,2,14,0.29112686040015195
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,0.016237816641051016,3,38,0.29139950977753193
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,0.016336910886135987,7,207,0.29139950977753193
GO_GLYCOLIPID_CATABOLIC_PROCESS,0.01650934762481354,2,14,0.2924014737775074
GO_POSITIVE_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,0.01679947738131327,3,39,0.2947524659046475
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.01695856434058432,4,71,0.2947524659046475
GO_COBALAMIN_METABOLIC_PROCESS,0.017067255565874427,2,14,0.2947524659046475
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.017110878736412934,4,71,0.2947524659046475
GO_PROTEIN_HOMODIMERIZATION_ACTIVITY,0.01740600053943378,14,532,0.29623808976917354
GO_BLOC_1_COMPLEX,0.017600098270337722,2,14,0.29623808976917354
GO_ENDOPEPTIDASE_ACTIVITY,0.017665480109933428,8,241,0.29623808976917354
GO_CHAPERONE_MEDIATED_AUTOPHAGY,0.017745919363877247,2,14,0.29623808976917354
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,0.017786064236638255,4,73,0.29623808976917354
GO_INFLAMMATORY_CELL_APOPTOTIC_PROCESS,0.017999348402443875,2,16,0.29775884325579893
GO_RESPONSE_TO_HEPATOCYTE_GROWTH_FACTOR,0.018114156269637072,2,16,0.29775884325579893
GO_LIPOPROTEIN_CATABOLIC_PROCESS,0.01825918400934386,2,14,0.2981938167759728
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,0.018594474969392642,2,15,0.3017103519227258
GO_ZINC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.019614729115123488,2,15,0.31397951723842654
GO_FATTY_ACID_METABOLIC_PROCESS,0.01967124900829517,9,281,0.31397951723842654
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION,0.019788468163935032,2,16,0.31397951723842654
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,0.01994379286191244,6,160,0.31397951723842654
GO_MYELIN_MAINTENANCE,0.02016256717329215,2,16,0.31397951723842654
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,0.020197000364070107,4,75,0.31397951723842654
GO_VITAMIN_D_METABOLIC_PROCESS,0.020224525563668033,2,16,0.31397951723842654
GO_FICOLIN_1_RICH_GRANULE_MEMBRANE,0.02072759145663752,3,43,0.31981529149351756
GO_T_CELL_LINEAGE_COMMITMENT,0.021237081151354954,2,17,0.3256784091198641
GO_GLYCEROLIPID_CATABOLIC_PROCESS,0.021395994647603084,3,43,0.32612682750740457
GO_PROTEIN_AUTOPROCESSING,0.02180448762224924,2,17,0.32881754472036406
GO_TRIGLYCERIDE_LIPASE_ACTIVITY,0.021834007939682227,2,16,0.32881754472036406
GO_REGULATION_OF_GLIOGENESIS,0.022118752862612456,4,78,0.33112299672303763
GO_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,0.022503532281545263,2,17,0.3311509259523965
GO_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY,0.022551661216018565,9,314,0.3311509259523965
GO_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE,0.022730618844495554,4,75,0.3311509259523965
GO_REGULATION_OF_CELL_SIZE,0.022765590797010373,6,165,0.3311509259523965
GO_FICOLIN_1_RICH_GRANULE_LUMEN,0.02286685294537147,5,111,0.3311509259523965
GO_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS,0.02291064060267077,2,17,0.3311509259523965
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.024183918136307794,4,79,0.34715074129414547
GO_TRANSPORT_VESICLE,0.02429365028539547,10,344,0.34715074129414547
GO_NEURAL_CREST_CELL_MIGRATION,0.02479487399888221,3,48,0.3509259494767035
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.02483690616574681,4,82,0.3509259494767035
GO_GLUTATHIONE_PEROXIDASE_ACTIVITY,0.02523012327366823,2,16,0.35449027951550616
GO_SYNAPTIC_VESICLE_CYTOSKELETAL_TRANSPORT,0.025717016393678103,2,17,0.35888118396326935
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,0.025828029541690556,5,120,0.35888118396326935
GO_NEGATIVE_REGULATION_OF_CELL_ADHESION,0.026040153819554945,7,214,0.3598405871218719
GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,0.026378570667159904,5,127,0.3625251651798206
GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,0.026629960539518018,5,117,0.3639910367222164
GO_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,0.02687868030271794,2,19,0.3654047619531655
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE,0.02762325084953026,11,419,0.3694430717967194
GO_CERAMIDE_BINDING,0.027663966104592125,2,18,0.3694430717967194
GO_ENDOCYTIC_VESICLE,0.02772460395447329,8,263,0.3694430717967194
GO_SPECIFIC_GRANULE_LUMEN,0.027801313252904396,3,46,0.3694430717967194
GO_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION,0.027910212183449978,2,19,0.3694430717967194
GO_REGULATION_OF_GTPASE_ACTIVITY,0.028658731235329464,10,380,0.3773649688840503
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY,0.029769796093663897,3,48,0.38995331862273286
GO_LONG_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS,0.030349896090400317,2,19,0.39549216926091607
GO_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.030792076894056254,4,83,0.39618123712624725
GO_REGULATION_OF_EXOCYTOSIS,0.030880849550227026,6,171,0.39618123712624725
GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,0.031020124461914503,4,90,0.39618123712624725
GO_MELANOCYTE_DIFFERENTIATION,0.031032884180465493,2,21,0.39618123712624725
GO_SPECIFIC_GRANULE,0.031207691190323673,5,125,0.3964007239578992
GO_ACUTE_PHASE_RESPONSE,0.03188612459616179,2,20,0.4015316732665623
GO_TIGHT_JUNCTION,0.03193094817229124,4,92,0.4015316732665623
GO_ENDOLYSOSOME,0.03239076523072235,2,21,0.4052874355983419
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,0.033309753158498115,3,54,0.41245795906649796
GO_SEMAPHORIN_RECEPTOR_BINDING,0.03333540790610623,2,23,0.41245795906649796
GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,0.03345583445310759,5,129,0.41245795906649796
GO_TERTIARY_GRANULE_MEMBRANE,0.033878280609065566,3,51,0.41542853564079213
GO_NEGATIVE_REGULATION_OF_SECRETION,0.034027148446124526,5,126,0.41542853564079213
GO_AMINOGLYCAN_CATABOLIC_PROCESS,0.03472719423096874,3,54,0.42192702169510327
GO_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION,0.03500839336407254,2,21,0.4224299937446222
GO_SNARE_COMPLEX,0.03523804125893056,3,48,0.4224299937446222
GO_ZINC_ION_HOMEOSTASIS,0.035367039514435365,2,21,0.4224299937446222
GO_VESICLE_FUSION_TO_PLASMA_MEMBRANE,0.03551418011432593,2,21,0.4224299937446222
GO_LONG_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS,0.035608412991594396,2,21,0.4224299937446222
GO_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.03631047819292581,5,134,0.4275319510892691
GO_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS,0.03651163933155636,2,22,0.4275319510892691
GO_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,0.03664548357535233,8,279,0.4275319510892691
GO_CONTRACTILE_FIBER,0.03672471837786206,6,179,0.4275319510892691
GO_LIPID_MODIFICATION,0.03704700848303024,7,225,0.4275319510892691
GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE,0.03709005829056389,2,22,0.4275319510892691
GO_RUFFLE_ORGANIZATION,0.03727955210411073,3,53,0.4275319510892691
GO_ZINC_ION_TRANSPORT,0.03739842116884263,2,21,0.4275319510892691
GO_STEROID_CATABOLIC_PROCESS,0.03788269590176576,2,21,0.43006173084428895
GO_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.038185388530561935,7,221,0.43006173084428895
GO_CELL_MIGRATION,0.03826264086831416,23,1159,0.43006173084428895
GO_REGULATION_OF_RESPONSE_TO_WOUNDING,0.038340121321062744,5,135,0.43006173084428895
GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,0.0384747075308012,5,133,0.43006173084428895
GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.03864751004285576,16,716,0.4300818042379745
GO_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE,0.038902279671602404,2,25,0.431009838652335
GO_ORGANIC_ACID_CATABOLIC_PROCESS,0.039758566833617795,7,220,0.43856489292345946
GO_RESPONSE_TO_THYROID_HORMONE,0.040193568996882624,2,23,0.4397278360147046
GO_CHEMOREPELLENT_ACTIVITY,0.040213678840310955,2,26,0.4397278360147046
GO_POSITIVE_T_CELL_SELECTION,0.04099916975224239,2,24,0.4432091222988487
GO_REGULATION_OF_TUBE_SIZE,0.0410491451551808,4,94,0.4432091222988487
GO_PIGMENT_GRANULE_LOCALIZATION,0.04111283620612351,2,23,0.4432091222988487
GO_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY,0.04137729939925111,14,617,0.4432091222988487
GO_REGULATION_OF_BLOOD_PRESSURE,0.041413178425538544,5,135,0.4432091222988487
GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,0.04231271157400288,14,618,0.44994804302716807
GO_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION,0.042400670456238104,7,232,0.44994804302716807
GO_PHOSPHOLIPID_METABOLIC_PROCESS,0.043455830381776896,9,338,0.4572455014377179
GO_SCHWANN_CELL_DEVELOPMENT,0.04363108149926883,2,26,0.4572455014377179
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,0.043792246460108805,3,55,0.4572455014377179
GO_MYELOID_CELL_APOPTOTIC_PROCESS,0.04381557290118887,2,25,0.4572455014377179
GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,0.045207872684005605,12,487,0.4681095078241955
GO_SYNAPTIC_VESICLE_EXOCYTOSIS,0.04527319045569829,4,98,0.4681095078241955
GO_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY,0.04541499797578676,4,95,0.4681095078241955
GO_CELL_CELL_CONTACT_ZONE,0.045870633959710326,3,61,0.4708760996272305
GO_LIPID_OXIDATION,0.046100251692955965,4,95,0.47103013105805247
GO_FATTY_ACID_CATABOLIC_PROCESS,0.046351311559315496,4,95,0.47103013105805247
GO_ASTROCYTE_DIFFERENTIATION,0.04644750397709623,3,59,0.47103013105805247
GO_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS,0.04683006717788919,3,56,0.4715614244303132
GO_SPHINGOLIPID_BINDING,0.04687489308452417,2,24,0.4715614244303132
GO_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,0.04723145827652994,3,60,0.4732554484680192
GO_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.0474508621880939,8,283,0.47356713652006405
GO_ESTROGEN_METABOLIC_PROCESS,0.04804002018257539,2,24,0.47755197928528503
GO_SPHINGOLIPID_METABOLIC_PROCESS,0.04845071815225233,5,140,0.4780614064569922
GO_MICROBODY_MEMBRANE,0.04887151540346823,3,58,0.4780614064569922
GO_REGULATION_OF_EXTENT_OF_CELL_GROWTH,0.049052128861103564,4,105,0.4780614064569922
GO_ENDOCYTIC_VESICLE_MEMBRANE,0.04921367110808331,5,143,0.4780614064569922
GO_NEGATIVE_REGULATION_OF_AXONOGENESIS,0.049214174275509705,3,63,0.4780614064569922
GO_REGULATION_OF_CAMP_MEDIATED_SIGNALING,0.04951627609568593,2,26,0.4780614064569922
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,0.04958501315142622,7,234,0.4780614064569922
GO_VESICLE_BUDDING_FROM_MEMBRANE,0.04961193919891649,4,98,0.4780614064569922
GO_REGULATION_OF_COMPLEMENT_ACTIVATION,0.04983693796313479,2,25,0.478396560982
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,0.050251601283626594,2,27,0.4805080207818269
GO_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,0.050439012917058566,3,60,0.4805080207818269
GO_APICAL_PLASMA_MEMBRANE,0.05063606496524489,7,247,0.4805649184437393
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.05103472496877853,9,342,0.4819848616469862
GO_MEMBRANE_ORGANIZATION,0.051417830048210454,16,735,0.4819848616469862
GO_APICAL_JUNCTION_COMPLEX,0.051479594661220235,4,106,0.4819848616469862
GO_REGULATION_OF_SYSTEM_PROCESS,0.05155225756780886,11,460,0.4819848616469862
GO_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION,0.0528779617932873,2,28,0.492170826741519
